,Timestamp,Source IP,Destination IP,Protocol,Payload
158,22:54:42,192.168.0.101,20.24.125.47,TCP,1603030066100000626104a9b7f3deda09681ee6735b24160984492120be0e55bbb496cf4e06e4e17076aecdd5be1bfe190b61442bde7871b8028ef5cca8a11d4db5bc7e6e00b46281651792c7a4fd51a38b2704edd33649edc355ec3bd8a8ef1f8c2e93
159,22:54:42,192.168.0.101,20.24.125.47,TCP,17030300520000000000000001e20a2ec143a6c4fde350acb680fd5aec5e0008f7dd8b0bfe276f30a5ba96fbf98378328dd74a0554328d59c81a99978d1d59a83b3cf6991255ed438187ae130239c74c5ee2a00ca3fa5c
160,22:54:42,20.24.125.47,192.168.0.101,TCP,<no payload>
161,22:54:42,20.24.125.47,192.168.0.101,TCP,14030300010116030300280000000000000000b4af67a0c609ded90eb1379cf1f86c1f3d853b203bf5c43589d6dce5c8a16fdc
162,22:54:42,20.24.125.47,192.168.0.101,TCP,1703030040000000000000000138ea9663ddc8089f5ec628bcaea3749d44889e842b9b4f6e1de525d8837f9017d2af5a00d53fec83d98aa5890a6e2e29ba880f0ac7a87855
163,22:54:42,192.168.0.101,20.24.125.47,TCP,<no payload>
164,22:54:42,192.168.0.101,20.24.125.47,TCP,170303133a000000000000000207d61166c8fb9acebc625d72b666f4479cfe639fddb96d00aa070e3a6c775a4be54e057ed33aacbd6aa0dfe1b01364268772e0857340fb28455b287b2ff728022ba3b280904a25d26555a0e65f34c1445f18e54b11e6dc
165,22:54:42,192.168.0.101,20.24.125.47,TCP,17030300210000000000000003a7822750ac8b181f1c2a1caafade64a8d280efe9c81e5697f4
166,22:54:43,20.24.125.47,192.168.0.101,TCP,170303002100000000000000029dc3a900e5b3a85019fa67feb2fde4f119a0fa0ac1b5754e53
167,22:54:43,192.168.0.101,20.24.125.47,TCP,<no payload>
168,22:54:43,20.24.125.47,192.168.0.101,TCP,<no payload>
169,22:54:43,20.24.125.47,192.168.0.101,TCP,<no payload>
170,22:54:43,20.24.125.47,192.168.0.101,TCP,18ad700f93cbd483c4292f52694bbd97e078406252fedf4af235fe61803a083adce3d3cc63794014d0886577befc7465147eb9081ff1f31cf460b55c038c88ad1998363a22624329dc54376b74f89b74e8576dbba56377b6b3bbece0f04aa7a7d33d14e8
